producto;link;metodo
sal_fina;https://diaonline.supermercadosdia.com.ar/sal-fina-en-paquete-celusal-500-gr-47582/p;dia_kg
sal_fina;https://diaonline.supermercadosdia.com.ar/sal-fina-dia-500-gr-55538/p;dia_kg
mayonesa;https://diaonline.supermercadosdia.com.ar/mayonesa-natura-500-ml-5527/p;
mayonesa;https://diaonline.supermercadosdia.com.ar/mayonesa-clasica-hellmann-s-sin-tacc-doypack-475-gr-283568/p;
mayonesa;https://diaonline.supermercadosdia.com.ar/mayonesa-canuelas-500-gr-299922/p;
mayonesa;https://diaonline.supermercadosdia.com.ar/mayonesa-fiesta-250-gr-296520/p;
mayonesa;https://diaonline.supermercadosdia.com.ar/mayonesa-danica-950-gr-52917/p;
vinagre;https://diaonline.supermercadosdia.com.ar/vinagre-de-alcohol-menoyo-1-l-27264/p;
vinagre;https://diaonline.supermercadosdia.com.ar/vinagre-de-alcohol-dia-1-lt-53468/p;
caldo_concentrado;https://diaonline.supermercadosdia.com.ar/caldo-gallina-maggi-12-un-284602/p;
gaseosas;https://diaonline.supermercadosdia.com.ar/gaseosa-cola-light-cunnington-225-lt-298001/p;
gaseosas;https://diaonline.supermercadosdia.com.ar/gaseosa-pepsi-botella-2-lt-250911/p;
gaseosas;https://diaonline.supermercadosdia.com.ar/gaseosa-paso-de-los-toros-pomelo-sin-azucar-botella-15-lt-290945/p;
gaseosas;https://diaonline.supermercadosdia.com.ar/gaseosa-coca-cola-sabor-original-25-lt-83209/p;
gaseosas;https://diaonline.supermercadosdia.com.ar/gaseosa-fanta-naranja-500-ml-19357/p;
gaseosas;https://diaonline.supermercadosdia.com.ar/gaseosa-sprite-lima-limon-500-ml-19355/p;
jugos_concentrados;https://diaonline.supermercadosdia.com.ar/jugo-en-polvo-rinde-2-naranja-y-banana-18-gr-137433/p;
jugos_concentrados;https://diaonline.supermercadosdia.com.ar/jugo-en-polvo-clight-naranja-dulce-75-gr-274215/p;
jugos_concentrados;https://diaonline.supermercadosdia.com.ar/jugo-en-polvo-dia-naranja-18-gr-278925/p;
jugos_concentrados;https://diaonline.supermercadosdia.com.ar/jugo-en-polvo-tang-limonada-dulce-15-gr-274212/p;
soda;https://diaonline.supermercadosdia.com.ar/sifon-de-soda-sin-tacc-dia-2-lt-295150/p;
soda;https://diaonline.supermercadosdia.com.ar/sifon-soda-rio-claro-175-lt-289580/p;
cerveza;https://diaonline.supermercadosdia.com.ar/cerveza-brahma-473-ml-106586/p;
cerveza;https://diaonline.supermercadosdia.com.ar/cerveza-andes-origen-ipa-andina-lata-473-ml-298961/p;
cerveza;https://diaonline.supermercadosdia.com.ar/cerveza-rubia-corona-410-ml-296128/p;
cerveza;https://diaonline.supermercadosdia.com.ar/cerveza-stella-artois-710-ml-298959/p;
cerveza;https://diaonline.supermercadosdia.com.ar/cerveza-ipa-quilmes-473-ml-296179/p;
cerveza;https://diaonline.supermercadosdia.com.ar/cerveza-rubia-schneider-lata-710-ml-259728/p;
vino;https://diaonline.supermercadosdia.com.ar/vino-malbec-conejo-verde-750-ml-299058/p;
vino;https://diaonline.supermercadosdia.com.ar/vino-reserva-malbec-norton-750-ml-298989/p;
vino;https://diaonline.supermercadosdia.com.ar/vino-malbec-roble-finca-norte-750-ml-296502/p;
vino;https://diaonline.supermercadosdia.com.ar/vino-malbec-benjamin-nieto-senetiner-750-ml-138022/p;
vino;https://diaonline.supermercadosdia.com.ar/vino-tinto-toro-viejo-1125-lt-198667/p;
cafe;https://diaonline.supermercadosdia.com.ar/cafe-dolca-original-nescafe-170-gr-299709/p;
cafe;https://diaonline.supermercadosdia.com.ar/cafe-suave-mas-aroma-arlistan-170-gr-7478/p;
cafe;https://diaonline.supermercadosdia.com.ar/cafe-sensaciones-bonafide-torrado-intenso-500-gr-31555/p;
yerba;https://diaonline.supermercadosdia.com.ar/yerba-mate-cbse-hierbas-serranas-1-kg-274351/p;
yerba;https://diaonline.supermercadosdia.com.ar/yerba-mate-la-tranquera-seleccion-especial-1-kg-272321/p;
yerba;https://diaonline.supermercadosdia.com.ar/yerba-mate-salus-natural-500-gr-271150/p;
yerba;https://diaonline.supermercadosdia.com.ar/yerba-mate-dia-con-palo-500-gr-274841/p;
yerba;https://diaonline.supermercadosdia.com.ar/yerba-mate-playadito-suave-500-gr-269578/p;
yerba;https://diaonline.supermercadosdia.com.ar/yerba-canarias-500-gr-299700/p;
yerba;https://diaonline.supermercadosdia.com.ar/yerba-mate-cruz-de-malta-seleccion-especial-500-gr-267837/p;
te_en_saquitos;https://diaonline.supermercadosdia.com.ar/te-verde-con-pomelo-green-hills-20-ud-299352/p;
te_en_saquitos;https://diaonline.supermercadosdia.com.ar/te-verde-en-saquitos-patagonia-40gr-295368/p;
te_en_saquitos;https://diaonline.supermercadosdia.com.ar/te-verde-dia-sin-tacc-25-un-275099/p;
te_en_saquitos;https://diaonline.supermercadosdia.com.ar/te-la-virginia-verde-20-un-261772/p;
